2025-11-09 22:58:49,352 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,352 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,353 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,353 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,353 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,354 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,354 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,354 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,354 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:49,355 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:54,871 	 DEBUG 	 isAllChk_tasksch_listView1==False
2025-11-09 22:59:09,190 	 DEBUG 	 1:[AUX]   ,2:[O]   ,3:[X]   ,4:[\DosDevices\COM1]
2025-11-09 22:59:09,191 	 DEBUG 	 1:[PRN]   ,2:[O]   ,3:[X]   ,4:[\DosDevices\LPT1]
2025-11-09 22:59:09,191 	 DEBUG 	 1:[UNC]   ,2:[O]   ,3:[X]   ,4:[\Device\Mup]
